instructions,categoryA,categoryB,leftAttribute,rightAttribute,orStimulus,trial_type,stimulusText,stimulusImage,blocks.thisRepN,blocks.thisTrialN,blocks.thisN,blocks.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructionsBox.started,instructionsBox.stopped,leftCategoryLabel_2.started,leftCategoryLabel_2.stopped,rightCategoryLabel_2.started,rightCategoryLabel_2.stopped,leftAttributeLabel_2.started,leftAttributeLabel_2.stopped,rightAttributeLabel_2.started,rightAttributeLabel_2.stopped,orLeft_2.started,orLeft_2.stopped,orRight_2.started,orRight_2.stopped,stimulusImageBox.started,stimulusImageBox.stopped,stimulusTextBox.started,stimulusTextBox.stopped,requiredResponse.keys,requiredResponse.corr,requiredResponse.rt,requiredResponse.started,requiredResponse.stopped,feedbackResponse.keys,feedbackResponse.corr,feedbackResponse.rt,feedbackResponse.started,feedbackResponse.stopped,feedback.started,feedback.stopped,leftCategoryLabel.started,leftCategoryLabel.stopped,rightCategoryLabel.started,rightCategoryLabel.stopped,leftAttributeLabel.started,leftAttributeLabel.stopped,rightAttributeLabel.started,rightAttributeLabel.stopped,orLeft.started,orLeft.stopped,orRight.started,orRight.stopped,gender,age,participant,date,expName,psychopyVersion,frameRate,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,0,10,0,,,,,,,,,,,,,,,26.18954379193019,None,26.18954379193019,None,i,1,0.6852703338954598,26.18954379193019,None,None,0,,26.18954379193019,None,26.18954379193019,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,25.906230457942,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,5,1,11,0,,,,,,,,,,,,,,,27.1898037919309,None,27.1898037919309,None,i,1,0.32503904204349965,27.1898037919309,None,None,0,,27.1898037919309,None,27.1898037919309,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,26.906214750022627,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,6,0,12,1,,,,,,,,,,,,,,,27.82306812494062,None,27.82306812494062,None,e,1,0.4936325839953497,27.82306812494062,None,None,0,,27.82306812494062,None,27.82306812494062,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,27.53926358302124,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,6,1,13,0,,,,,,,,,,,,,,,28.623006374924444,None,28.623006374924444,None,i,1,0.5067748749861494,28.623006374924444,None,None,0,,28.623006374924444,None,28.623006374924444,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,28.339611832983792,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,7,0,14,1,,,,,,,,,,,,,,,29.439890207955614,None,29.439890207955614,None,e,1,0.48682362504769117,29.439890207955614,None,None,0,,29.439890207955614,None,29.439890207955614,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,29.155525124981068,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,7,1,15,1,,,,,,,,,,,,,,,30.240071833017282,None,30.240071833017282,None,e,1,0.5302670419914648,30.240071833017282,None,None,0,,30.240071833017282,None,30.240071833017282,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,29.95608629193157,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,8,0,16,0,,,,,,,,,,,,,,,31.073250957997516,None,31.073250957997516,None,i,1,0.585657958057709,31.073250957997516,None,None,0,,31.073250957997516,None,31.073250957997516,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,30.78956395795103,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,8,1,17,1,,,,,,,,,,,,,,,31.973044457961805,None,31.973044457961805,None,e,1,0.5606772089377046,31.973044457961805,None,None,0,,31.973044457961805,None,31.973044457961805,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,31.68938870797865,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,1,text_trial_type_1,img_trial_type_1,0,0,0,0,9,0,18,0,,,,,,,,,,,,,,,32.84022541693412,None,32.84022541693412,None,i,1,0.5225744580384344,32.84022541693412,None,None,0,,32.84022541693412,None,32.84022541693412,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,32.55622079200111,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"Put your middle or index fingers on the E and I keys of your keyboard. Words representing the categories at the top will appear one-by-one in the middle of the screen. When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. If you make an error, an X will appear - fix the error by hitting the other key.

This is a timed sorting task. GO AS FAST AS YOU CAN while making as few mistakes as possible. Going too slow or making too many errors will result in an uninterpretable score. This task will take about 5 minutes to complete.

Press E or I to continue.",Black People,White People, , , ,2,text_trial_type_2,img_trial_type_2,0,0,0,0,9,1,19,1,,,,,,,,,,,,,,,33.67316470795777,None,33.67316470795777,None,e,1,0.8344351670239121,33.67316470795777,None,None,0,,33.67316470795777,None,33.67316470795777,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,33.38992699992377,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,4,text_trial_type_4,img_trial_type_4,0,1,1,1,0,0,0,1,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,35.291897416929714,None,37.87323554197792,None,37.87323554197792,None,e,1,0.955550582963042,37.87323554197792,None,i,1,0.7177819160278887,37.87323554197792,None,37.87323554197792,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,37.57900616701227,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,4,text_trial_type_4,img_trial_type_4,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,39.155986582976766,None,39.155986582976766,None,e,1,1.0486120419809595,39.155986582976766,None,None,0,,39.155986582976766,None,39.155986582976766,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,38.86944516701624,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,1,0,2,0,,,,,,,,,,,,,,,40.523610792006366,None,40.523610792006366,None,i,1,0.58336520800367,40.523610792006366,None,None,0,,40.523610792006366,None,40.523610792006366,None,40.23864037496969,None,40.23864037496969,None,40.23864037496969,None,40.23864037496969,None,40.23864037496969,None,40.23864037496969,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,4,text_trial_type_4,img_trial_type_4,0,1,1,1,1,1,3,1,,,,,,,,,,,,,,,41.44049549999181,None,41.44049549999181,None,e,1,0.6507045830367133,41.44049549999181,None,None,0,,41.44049549999181,None,41.44049549999181,None,41.14918633294292,None,41.14918633294292,None,41.14918633294292,None,41.14918633294292,None,41.14918633294292,None,41.14918633294292,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,2,0,4,0,,,,,,,,,,,,,,,42.42330054193735,None,42.42330054193735,None,i,1,0.733691707951948,42.42330054193735,None,None,0,,42.42330054193735,None,42.42330054193735,None,42.1324439169839,None,42.1324439169839,None,42.1324439169839,None,42.1324439169839,None,42.1324439169839,None,42.1324439169839,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,4,text_trial_type_4,img_trial_type_4,0,1,1,1,2,1,5,1,,,,,,,,,,,,,,,43.49005679192487,None,43.49005679192487,None,e,1,0.5741261669900268,43.49005679192487,None,None,0,,43.49005679192487,None,43.49005679192487,None,43.198642874951474,None,43.198642874951474,None,43.198642874951474,None,43.198642874951474,None,43.198642874951474,None,43.198642874951474,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,3,0,6,0,,,,,,,,,,,,,,,44.3899897079682,None,44.3899897079682,None,i,1,0.7885069160256535,44.3899897079682,None,None,0,,44.3899897079682,None,44.3899897079682,None,44.100235749967396,None,44.100235749967396,None,44.100235749967396,None,44.100235749967396,None,44.100235749967396,None,44.100235749967396,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,3,1,7,0,,,,,,,,,,,,,,,45.50665516697336,None,45.50665516697336,None,i,1,1.2572485420387238,45.50665516697336,None,None,0,,45.50665516697336,None,45.50665516697336,None,45.21667129197158,None,45.21667129197158,None,45.21667129197158,None,45.21667129197158,None,45.21667129197158,None,45.21667129197158,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,4,0,8,0,,,,,,,,,,,,,,,47.09001204196829,None,47.09001204196829,None,i,1,0.6544760420219973,47.09001204196829,None,None,0,,47.09001204196829,None,47.09001204196829,None,46.80105316697154,None,46.80105316697154,None,46.80105316697154,None,46.80105316697154,None,46.80105316697154,None,46.80105316697154,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,4,1,9,0,,,,,,,,,,,,,,,48.07341879198793,None,48.07341879198793,None,i,1,0.4329655420733616,48.07341879198793,None,None,0,,48.07341879198793,None,48.07341879198793,None,47.78307849995326,None,47.78307849995326,None,47.78307849995326,None,47.78307849995326,None,47.78307849995326,None,47.78307849995326,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
"See above, the categories have changed. The items for sorting have changed as well. The rules, however, are the same.

When the item belongs to a category on the left, press the E key; when the item belongs to a category on the right, press the I key. Items belong to only one category. An X appears after an error - fix the error by hitting the other key. GO AS FAST AS YOU CAN.

Press E or I to continue.", , ,Bad,Good, ,3,text_trial_type_3,img_trial_type_3,0,1,1,1,5,0,10,0,,,,,,,,,,,,,,,48.82347766694147,None,48.82347766694147,None,i,1,0.3348629999672994,48.82347766694147,None,None,0,,48.82347766694147,None,48.82347766694147,None,48.533998999977484,None,48.533998999977484,None,48.533998999977484,None,48.533998999977484,None,48.533998999977484,None,48.533998999977484,None,F,20,1,2022_Jul_13_1250,IAT,2021.2.3,59.983804640475476,
